Link,Titulo,Precio,Ubicacion,Ventas 60 dias,Reviews,Rating,Comentarios
https://articulo.mercadolibre.com.co/MCO-979236481-msi-ge76-portatil-17-gamer-i7-12700h-rtx-3060-64gb-2tb-_JM#position=37&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Msi Ge76 Portatil 17'' Gamer I7-12700h Rtx 3060 64gb 2tb,14.291.900,"Cali, Valle Del Cauca.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1036002011-portatil-dell-vostro-v130-core-i5-ram-4gb-disco-320gb-_JM#position=38&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Portátil Dell Vostro V130 Core I5 Ram 4gb Disco 320gb ,500.000,"Medellín, Antioquia.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-1235518521-hp-15-amd-ryzen-7-5700u-tactil-12-gb-ram-256-gb-solido-_JM#position=39&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,"Hp 15, Amd Ryzen 7 5700u, Táctil, 12 Gb Ram, 256 Gb Sólido, ",2.799.900,"Bucaramanga, Santander.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-852816000-portatil-nuevo-hp-245-g5-amd-a8-ram-40gb-dd-240-ssd-_JM#position=40&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Portatil Nuevo Hp 245 G5 - Amd A8 - Ram 4.0gb - Dd 240 Ssd,1.390.000,"Chapinero, Bogotá D.C..",+25,,,[]
https://articulo.mercadolibre.com.co/MCO-1274158423-computadora-portatil-hp-hd-2020-de-14-pulgadas-_JM#position=41&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Computadora Portátil Hp Hd 2020 De 14 Pulgadas,1.874.990,"Medellín, Antioquia.",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-573754265-dell-inspiron-3493-core-i3-1005g1-ram-8gb-ssd-256gb-win-10-_JM#position=42&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339, Dell Inspiron 3493 Core I3 1005g1-ram 8gb-ssd 256gb-win 10,1.799.900,"Usaquén, Bogotá D.C..",+100,,,[]
https://articulo.mercadolibre.com.co/MCO-865013638-portatil-acer-a315-23g-r0fh-amd-ryzen-5-3500u8gb2gb-video-_JM#position=43&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Portátil Acer A315-23g-r0fh Amd Ryzen 5 3500u/8gb/2gb Video,2.800.000,"Chapinero, Bogotá D.C..",+50,,,[]
https://articulo.mercadolibre.com.co/MCO-612914255-hp-pavilion-x360-14-convertible-2-en-1pantalla-tactil-full-_JM#position=44&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,"Hp Pavilion X360 14 Convertible 2 En 1,pantalla Táctil Full",5.730.900,"Engativá, Bogotá D.C..",+1000,,,[]
https://articulo.mercadolibre.com.co/MCO-894750131-portatil-core-i3-10ma-gen-156-pulg-12-gb-256-ssd-asus-_JM#position=45&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Portatil Core I3 10ma Gen 15.6 PuLG 12 Gb 256 Ssd Asus,2.049.900,"Itaguí, Antioquia.",+500,,,[]
https://articulo.mercadolibre.com.co/MCO-930296811-ordenador-portatil-transformers-3-bumblebee-_JM#position=46&search_layout=stack&type=item&tracking_id=970e62f2-3400-4109-bb8f-a33599e58339,Ordenador Portátil Transformers 3 Bumblebee,654.000,"Suba, Bogotá D.C..",+100,,,[]
